piloter,steuern
l'hélicoptère (m),der Hubschrauber
se taire,schweigen
repasser,bügeln
la patience,die Geduld
l'apprentissage (m),die Lehre
le tricot,das Stricken
indispensable,unbedingt notwendig
passé (e) de mode,aus der Mode kommen
le sens de l'équilibre,der Gleichgewichtssinn
l'équilibre (m),das Gleichgewicht
coupable,schuldig
la couverture,die Decke
le manque de,Fehlen an
être dans l'air du temps,zeitgemäss sein
valoir la peine,sich lohnen
tomber sur (qc/qn),zufällig auf etwas / jemanden stossen
s'affirmer,sich behaupten
la timidité,die Schüchternheit
le truc (la Chose / le machin),die Sache, das Ding
mettre en pratique,in die Praxis umsetzen