research (n) (do research),Forschung
to reach (v),erreichen
the Equator,der Äquator
daylight (n),Tageslicht
life expectancy (n),Lebenserwartung
barrel (n),Fass
extinct,ausgestorben
to vote (Who did you vote for in the election),stimmen
vote (n),Stimmrecht
to destroy,zerstören
earthquake (n),Erdbeben
iceberg (n),Eisberg
means (n) (The plane is a fast means of transport),Mittel
to go live,ans Netz gehen
widely (adv),viel / weithin
to provide,zur Verfügung stellen
global warming,globale Erwärmung
to go on about,reden über
survey (n) (We did a survey on students' eating habits),Umfrage